player,role,position,gamesplayed,goals,assists,fowin,foloss
"Simon Benoit",Def,D,30,1,2,0,0
"Sam Carrick",Off,C,36,9,4,89,90
"Max Comtois",Off,LW,28,2,4,14,15
"Nicolas Deslauriers",Off,LW,46,2,4,1,3
"Jamie Drysdale",Def,D,49,3,17,0,0
"Cam Fowler",Def,D,45,6,17,0,0
"Ryan Getzlaf",Off,C,41,3,24,418,357
"Derek Grant",Off,C,41,7,5,109,102
"Benoit-Olivier Groulx",Off,C,18,1,2,38,45
"Brendan Guhle",Def,D,2,0,0,0,0
"Adam Henrique",Off,C,28,6,11,73,55
"Max Jones",Off,LW,2,0,0,1,1
"Bryce Kindopp",Off,F,1,0,0,0,1
"Jacob Larsson",Def,D,6,0,1,0,0
"Vinni Lettieri",Off,C,17,5,3,4,1
"Hampus Lindholm",Def,D,47,5,14,0,0
"Isac Lundestrom",Off,C,49,11,11,267,326
"Josh Mahura",Def,D,16,1,1,0,0
"Josh Manson",Def,D,43,3,4,0,0
"Mason Mctavish",Off,C,9,2,1,0,3
"Sonny Milano",Off,LW,36,9,16,0,1
"Danny O'Regan",Off,C,1,0,0,8,10
"Greg Pateryn",Def,D,8,1,1,0,0
"Jacob Perreault",Off,RW,1,0,0,0,0
"Rickard Rakell",Off,RW,39,11,10,28,29
"Buddy Robinson",Off,RW,22,1,3,0,5
"Kevin Shattenkirk",Def,D,49,7,19,0,0
"Jakob Silfverberg",Off,LW,43,3,13,8,13
"Sam Steel",Off,C,41,5,9,123,128
"Troy Terry",Off,C,44,25,17,0,3
"Brayden Tracey",Off,LW,1,0,0,0,0
